School Number,School Name,Telephone,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban/Rural,School Type,Definition,Authority,Gender of Students,KME Peak Body,Takiwā
435,Hingaia Peninsula School,09-299 3628,senco@hp.school.nz,Carly Kidd,http://www.hingaiapeninsula.school.nz,3 Papaka Road,Hingaia,Auckland,3 Papaka Road RD 1,,Auckland,2580,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Raro
436,Te Kura o Nga Ruahine Rangi,06-764 7050,admin@ngaruahine.school.nz,Ngapera Moeahu-Teitinga,,520 Eltham Road,,Mangatoki,520 Eltham Road RD 21,,Stratford,4391,Rural other,Composite,,State,Co-Educational,Te Rūnanga nui o ngā Kura Kaupapa Māori o Aotearoa,Te Tai Whenua
437,Te Uho O Te Nikau Primary School,09-557 5503,admin@tenikau.school.nz,Chris Herlihy,http://www.tenikau.school.nz/,221 Flat Bush School Road,Flat Bush,Auckland,PO Box 217183,Botany Junction,Auckland,2164,Major urban area,Contributing,,State,Co-Educational,,Te Tai Raro
438,Te Kura Rau Iti,09-2430777,,Libby Slaughter,https://tekurarauiti.school.nz/contact/,121 Murphys Road,Flat Bush,Auckland,121 Murphys Road,,Auckland,,Major urban area,Contributing,,State,Co-Educational,,Te Tai Raro
439,Kauri Flats School,09-222 4780,admin@kauriflats.school.nz,Matthew Williams,http://www.kauriflats.school.nz,181 Walters Road,Takanini,Auckland,181 Walters Road,Takanini,Auckland,2110,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Raro
440,TKKM o Ngaringaomatariki,09-4259017,admin@ngaringaomatariki.school.nz,Reno Skipper,,34 Oruawharo School Road,Oruawharo,Wellsford,34 Oruawharo School Road RD 5,,Wellsford,975,Rural other,Composite,,State,Co-Educational,Te Rūnanga nui o ngā Kura Kaupapa Māori o Aotearoa,Te Tai Raro
441,Kumeroa School,06-3764542,office@kumeroa.school.nz,Lucy Stone,http://www.kumeroa.school.nz,58 Township Road,,Kumeroa,58 Township Road RD 1,,Woodville,4997,Rural other,Full Primary,,State,Co-Educational,,Te Tai Runga
442,KingsGate School,09-2390297,info@kingsgate.school.nz,Jared Stein,http://www.kingsgate.school.nz,58 Blake Road,Pukekohe West,Auckland,"58 Blake Road, Pukekohe",,Auckland,2120,Rural other,Composite,,State : Integrated,Co-Educational,,Te Tai Raro
443,Golden Grove School,09-6364461,office@goldengrove.school.nz,Helena Royden,http://www.goldengrove.school.nz,57 Grey Street,Onehunga,Auckland,57 Grey Street,Onehunga,Auckland,1061,Major urban area,Full Primary,,Private : Fully Registered,Co-Educational,,Te Tai Raro
444,Wentworth Primary,09-4280903,enquiries@wentworth.school.nz,Bruce Tong,http://www.wentworth.school.nz/,95 Gulf Harbour Drive,Gulf Harbour,Whangaparaoa,PO Box 650,,Whangaparaoa,943,Large urban area,Full Primary,,Private : Fully Registered,Co-Educational,,Te Tai Raro
445,Big Rock Primary School,03-4811781,office@bigrock.school.nz,Lisa Lamb (Acting),,2 Bath Street,,Brighton,2 Bath Street,Brighton,Dunedin,9035,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
446,Ashburton Christian School,03-3076340,office@acs.school.nz,Simon Bisseker,http://www.acs.school.nz/,119 Albert Street,Elgin,Ashburton,PO Box 632,Elgin,Ashburton,7740,Medium urban area,Composite (Year 1-10),,State : Integrated,Co-Educational,,Te Tai Runga
447,Henderson - Teen Parent Unit - He Wero o nga Wahine,09-8389085,hewero@hhs.school.nz,Philippa Durkin,http://www.hhs.school.nz,Henderson Valley Road,Henderson,Auckland,PO Box 21141,Waitakere,Auckland,650,Major urban area,Teen Parent Unit,,State,Co-Educational,,Te Tai Raro
448,Amesbury School,04-4773423,office@amesbury.school.nz,Ursula Cunningham,http://www.amesbury.school.nz,48 Amesbury Drive,Churton Park,Wellington,48 Amesbury Drive,Churton Park,Wellington,6037,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
449,Rototuna Senior High School,07-8540541,communication@rhs.school.nz,Miranda Makin,http://www.rhs.school.nz,Kimbrae Drive,Rototuna,Hamilton,PO Box 21116,Rototuna,Hamilton,3210,Major urban area,Secondary (Year 11-15),,State,Co-Educational,,Te Tai Whenua
450,Murihiku Young Parents' Learning Centre,03-2179659,office@myplc.school.nz,Mike Newell,,Isabella Street,,Invercargill,c/- James Hargest College 282 Layard Street,,Invercargill,9810,Large urban area,Teen Parent Unit,,State,Co-Educational,,Te Tai Runga
451,Sancta Maria Catholic Primary School,09-2715249,office@sanctamariaprimary.school.nz,Carolyn Massey,http://www.sanctamariaprimary.school.nz/1/pages/3-welcome,317 Te Irirangi Drive,Flat Bush,Manukau,PO Box 259074,Botany,Manukau,2163,Major urban area,Contributing,,State : Integrated,Co-Educational,,Te Tai Raro
452,Huanui College,09-4591930,reception@hc.school.nz,Philip Coombe,http://www.hc.school.nz/,328 Ngunguru Road RD 3,Glenbervie,Whangarei,328 Ngunguru Road RD 3,,Whangarei,173,Rural other,Secondary (Year 7-15),,Private : Fully Registered,Co-Educational,,Te Tai Raro
453,Silverstream Christian School,04-974 8610,,Jared Bruning,http://www.silverstreamchristian.school.nz,4 - 8 Blue Mountain Road,Silverstream,Upper Hutt,PO Box 48195,Silverstream,Upper Hutt,5142,Large urban area,Composite,,Private : Fully Registered,Co-Educational,,Te Tai Runga
454,Te Karaka Area School,06-8623097,,Renae Savage,http://tkas.school.nz,5 Kanakanaia Road,Te Karaka,Gisborne,PO Box 3,Te Karaka,Gisborne,4042,Rural settlement,Composite,,State,Co-Educational,,Te Tai Whenua
455,Tamaoho School,09-884 9350,,Gina Harduar,https://www.tamaoho.school.nz/,36 Taikaranga Street,,Pukekohe,36 Taikaranga Street,,Pukekohe,2120,Medium urban area,Contributing,,State,Co-Educational,,Te Tai Raro
456,TKKM o Tuia te Matangi,03-9280031,tari@tuiatematangi.ac.nz,Anthony De Thierry,http://www.tuiatematangi.ac.nz,32 D'Arcy Street,,Richmond,PO Box 8026,Nelson Mail Centre,Nelson,7046,Medium urban area,Composite,,State,Co-Educational,Te Rūnanga nui o ngā Kura Kaupapa Māori o Aotearoa,Te Tai Runga
457,Te Kura Māori o Ngā Tapuwae,09-5516161,info@ngatapuwae.school.nz,Harley Mariu,http://www.ngatapuwae.school.nz,1 Wickman Way,Mangere,Auckland,PO Box 43213,Mangere,Auckland,2153,Major urban area,Composite,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Raro
458,Kia Aroha Campus,09-2745807,office@kiaaroha.school.nz,Haley Milne,http://www.kiaaroha.school.nz/,51 Othello Drive,Otara,Auckland,51 Othello Drive,Otara,Auckland,2023,Major urban area,Composite,,State,Co-Educational,,Te Tai Raro
459,Tai Wananga,07-853 0035,info@taiwananga.co.nz,Keriata Kuiti,http://www.taiwananga.co.nz,Ruakura AgResearch Centre,,Hamilton,PO Box 14024,Five Cross Roads,Hamilton,3252,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
460,Kingsview School,03-4511444,office@kingsview.school.nz,Amos Pilgrim,http://www.kingsview.school.nz,14 Yewlett Cresent,Frankton,Queenstown,PO Box 2113,,Queenstown,9349,Medium urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
461,Pa Harakeke Teen Parent Unit,07-886 6109 Ext 706,info@tokoroahigh.school.nz,William Ford,,Billah Street,,Tokoroa,Private Bag,,Tokoroa,3444,Medium urban area,Teen Parent Unit,,State,Co-Educational,,Te Tai Whenua
462,Te Wharekura o Nga Purapura o Te Aroha,021-2257577,tari@npota.school.nz,Jade Tapine,,190 Factory Road,,Te Awamutu,190 Factory Road,,Te Awamutu,,Medium urban area,Composite,,State,Co-Educational,,Te Tai Whenua
463,Bathgate Park School,03-4553421,office@bathgatepark.school.nz,Katrina Robertson (Acting),http://www.bathgatepark.school.nz,213 Macandrew Road,South Dunedin,Dunedin,213 Macandrew Road,South Dunedin,Dunedin,9012,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
464,Carisbrook School,03-4558315,office@carisbrook.school.nz,Bruce James,http://www.carisbrook.school.nz,217 South Road,Caversham,Dunedin,217 South Road,Caversham,Dunedin,9012,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
465,Te Whata Tau o Putauaki,07-3238486,tari@twtop.school.nz,Makarita Hunia (Acting),http://www.twtop.school.nz,39-57 Galway Street,,Kawerau,PO Box 124,,Kawerau,3127,Small urban area,Composite,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Whenua
466,Rolleston College,03-5952490,admin@rollestoncollege.nz,Rachel Skelton,http://www.rollestoncollege.nz,631 Springston Rolleston Road,,Rolleston,PO Box 86045,Rolleston West,Rolleston,7658,Medium urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Runga
467,Kawerau Putauaki School,07-3237093,admin@putauaki.school.nz,Rachel Chater,http://www.putauaki.school.nz,87-89 Fenton Mill Road,,Kawerau,87-89 Fenton Mill Road,,Kawerau,3127,Small urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
468,Murupara Area School,07-3665602,office@mas.school.nz,Kura Hingston,http://www.mas.school.nz,84 Pine Drive,,Murupara,PO Box 26,,Murupara,3062,Small urban area,Composite,,State,Co-Educational,,Te Tai Whenua
469,Kahurangi School,04-3886386,office@kahurangi.school.nz,Kyran Smith,http://kahurangi.school.nz,45 Strathmore Avenue,Strathmore,Wellington,43 Strathmore Avenue,Strathmore,Wellington,6022,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
470,Tarawera High School,07-3236553,office@tarawera.school.nz,Marissa Peters,http://www.tarawera.school.nz,58-122 River Road,,Kawerau,PO Box 12,,Kawerau,3169,Small urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Whenua
471,Nelson Teen Parent Unit,03-5483104,,Claire O'Fee,,111 Haven Road,,Nelson,PO Box 842,,Nelson,7040,Large urban area,Teen Parent Unit,,State,Co-Educational,,Te Tai Runga
472,Waikato Montessori Education Centre,07-8583563,admin@goldenbeads.org.nz,Diane Bhana,http://www.goldenbeads.org.nz,267 Newell Road,,Hamilton,PO Box 10161,Te Rapa,Hamilton,3241,Rural other,Full Primary,,Private : Fully Registered,Co-Educational,,Te Tai Whenua
473,Levin Teen Parent Unit,06-368 1073,fleurnet@waiopehu.ac.nz,MISTY SCIASCIA,,Bartholomew Road,,Levin,PO Box 548,,Levin,5540,Medium urban area,Teen Parent Unit,,State,Co-Educational,,Te Tai Runga
474,Ao Tawhiti Unlimited Discovery,03-3777773,office@aotawhiti.school.nz,Anita Yarwood,https://aotawhiti.school.nz/,5 Mollett St,Christchurch,Christchurch,5 Mollett Street,Christchurch Central,Christchurch,8140,Major urban area,Composite,,State,Co-Educational,,Te Tai Runga
475,Te Waka Unua School,03-3899305,office@tewaka.school.nz,Janeane Reid,http://www.tewaka.school.nz,476 Ferry Road,Woolston,Christchurch,476 Ferry Road,Woolston,Christchurch,8023,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
476,Waitākiri Primary School,03-383 2736,office@waitakiri.school.nz,Andrew Barker,http://www.waitakiri.school.nz/,170 Burwood Road,Burwood,Christchurch,170 Burwood Road,Burwood,Christchurch,8083,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
477,Lyttelton Primary School,03-9290588,office@lyttelton.school.nz,Jenny Felton,http://www.lyttelton.school.nz,34 Oxford Street,,Lyttelton,PO Box 85,,Lyttelton,8841,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
478,Ormiston Primary School,09-2539020,admin@ormps.school.nz,Heath McNeil,http://www.ormistonprimary.school.nz,291 Ormiston Road,Flat Bush,Auckland,PO Box 217053,Botany Junction,Auckland,2164,Major urban area,Contributing,,State,Co-Educational,,Te Tai Raro
479,Rāwhiti School,03-3889519,admin@rawhiti.school.nz,Jody Hohaia-O’Sullivan,http://www.rawhiti.school.nz,150 Leaver Terrace,North New Brighton,Christchurch,150 Leaver Terrace,North New Brighton,Christchurch,8083,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
480,Haeata Community Campus,03-9300110,office@haeata.school.nz,Peggy Burrows,http://www.haeata.school.nz,240 Breezes Road,Wainoni,Christchurch,PO Box 15071,Aranui,Christchurch,8643,Major urban area,Composite,,State,Co-Educational,,Te Tai Runga
481,Te Tipu Whenua o Pa Harakeke,06-6500679,melanief@flaxcol.co.nz,Cherie Heeney,http://www.flaxmerecollege.co.nz/,151 Flaxmere Avenue,Flaxmere,Hastings,Te Tipu Whenua o Pa Harakeke 151 Flaxmere Avenue,,Hastings,4120,Large urban area,Teen Parent Unit,,State,Co-Educational,,Te Tai Whenua
482,Te Pā o Rākaihautū,03-3810899,tepa@rakaihautu.com,Terina Tahau (Acting),http://www.rakaihautu.com,7 McLean Street,Linwood,Christchurch,PO Box 27131,Shirley,Christchurch,8013,Major urban area,Composite,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Runga
483,ACG Tauranga,07-2130100,acgtauranga@acgedu.com,Dorethea Kilian,https://tauranga.acgedu.com/,6 Keenan Road,Pyes Pa,Tauranga,PO Box 6199,,Tauranga,1141,Major urban area,Composite,,Private : Fully Registered,Co-Educational,,Te Tai Whenua
484,Rototuna Junior High School,07-8540541,communication@rhs.school.nz,Melissa Moore,http://www.rhs.school.nz,Kimbrae Drive,Rototuna,Hamilton,PO Box 21116,Rototuna,Hamilton,3210,Major urban area,Secondary (Year 7-10),,State,Co-Educational,,Te Tai Whenua
485,Ormiston Junior College,09-9740 140,admin@ojc.school.nz,Ryan Timoko-Benjamin (Acting),http://www.ojc.school.nz,285 Ormiston Road,Flat Bush,Auckland,285 Ormiston Road,Flat Bush,Auckland,2019,Major urban area,Secondary (Year 7-10),,State,Co-Educational,,Te Tai Raro
486,Rolleston Christian School,03-5502653,office@rcs.school.nz,Elizabeth Coyle,http://www.rollestonchristian.school.nz,571-575 Springston Rolleston Road,,Rolleston,571 Springston Rolleston Road RD 8,,Christchurch,7678,Medium urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
487,Te Rōhutu Whio,03-244 0426,admin@terohutuwhio.school.nz,Kate Morgan,https://terohutuwhio.school.nz/,85 Kate Sheppard Drive,,Rolleston,85 Kate Sheppard Drive,,Rolleston,7678,Medium urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
488,Whakatane Teen Parent Unit,07-9295010,,Martyn Knapton,,36 Golf Links Road,Thornton,Whakatane,Private Bag 1021,,Whakatane,3158,Medium urban area,Teen Parent Unit,,State,Co-Educational,,Te Tai Whenua
489,Te Kura Kaupapa Maori o Te Orini ki Ngati Awa,07-3082010,admin@tkkmteorini.school.nz,Ngarimu Daniels (Acting),http://www.tkkmteorini.school.nz,33 Meadow Vale,Coastlands,Whakatane,33 Meadow Vale,Coastlands,Whakatane,3120,Medium urban area,Composite,,State,Co-Educational,Te Rūnanga nui o ngā Kura Kaupapa Māori o Aotearoa,Te Tai Whenua
490,Te Pae School (Proposed opening date: 2027-01-01),,,,,1 Dunlop Road,Westgate,Auckland,1 Dunlop Road,,Auckland,,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Raro
491,Te Manawa ō Pāpāmoa School,07-8994076,office@tmop.school.nz,,https://www.tmop.school.nz/,72 Te Okuroa Drive,Papamoa Beach,Papamoa,72 Te Okuroa Drive,,Papamoa,3118,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
492,Scott Point School,09-553 6810,admin@scottpointschool.nz,Pamela King,https://www.scottpointschool.nz/,11 Scott Road,Hobsonville,Auckland,11 Scott Road,Hobsonville,Auckland,616,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Raro
493,Meraki Montessori School,09-5541583,admin@merakimontessori.co.nz,Paul Scanlan,http://www.merakimontessori.co.nz,293 Wainui Road,,Silverdale,293 Wainui Road RD 2,,Silverdale,992,Large urban area,Full Primary,,Private : Fully Registered,Co-Educational,,Te Tai Raro
494,Northland College Teen Parent Unit,09-4013200,eleanorb@northlandcollege.school.nz,Eleanor Barker,http://www.northlandcollege.school.nz,24 Purdy Street,,Kaikohe,PO Box 261,,Kaikohe,440,Small urban area,Teen Parent Unit,,State,Co-Educational,,Te Tai Raro
495,Porangahau School,06-8555340,office@porangahau.school.nz,Julie Scandrett,https://sites.google.com/porangahau.school.nz/porangahauschool/,58 Keppel Street,,Porangahau,58 Keppel Street RD 1,,Porangahau,4291,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Whenua
496,Te Kura Kaupapa Maori o Horouta Wananga,06-8672029,accounts@horoutawananga.school.nz,Brucenna Gilvray-Nohotima,http://horoutawananga.nz/,30 Desmond Road,Te Hapara,Gisborne,PO Box 3090,Kaiti,Gisborne,4041,Large urban area,Composite,,State,Co-Educational,Te Rūnanga nui o ngā Kura Kaupapa Māori o Aotearoa,Te Tai Whenua
497,St Francis of Assisi Catholic School,03-595 0730,,Joanne Earl,http://www.stfrancischch.school.nz,370 Innes Road,Mairehau,Christchurch,370 Innes Road,Mairehau,Christchurch,8052,Major urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
498,Manukura,06-3549531,admin@manukura.school.nz,Ilane Durie,http://www.manukura.school.nz,233 Tennent Drive,Palmerston North,Palmerston North,PO Box 5478,Hokowhitu,Palmerston North,4441,Large urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
499,Te Kura o Te Whānau-a-Apanui,07-3252040,admin@tkotwaa.school.nz,Teia Herewini,http://www.tekuraotewhanauaapanui.school.nz,6870 SHW 35 Te Kaha RD3,,Opotiki,State Highway 35 RD 3,,Opotiki,3199,Rural settlement,Composite,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Whenua
500,Holy Trinity Catholic Primary School,09-2969039,office@holytrinity.school.nz,Peta Lindstrom,http://www.holytrinity.school.nz,137 Airfield Road,Takanini,Auckland,PO Box 202046,Takanini,Auckland,2246,Major urban area,Contributing,,State : Integrated,Co-Educational,,Te Tai Raro
501,Te Kura Whakatipu o Kawarau,03-9744644,office@kawarau.school.nz,Tania McNamara,https://www.kawarau.school.nz/,85 Howden Drive,,Queenstown,PO Box 2905,Wakatipu,Queenstown,9349,Medium urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
502,Te Kura O Take Kārara,03-974 7575,office@takekarara.school.nz,Jodie Howard,https://www.takekarara.school.nz,3 Grace Wright Drive,,Wanaka,PO Box 815,,Wanaka,9343,Medium urban area,Contributing,,State,Co-Educational,,Te Tai Runga
503,Ngākōroa School,09-5537040,hello@ngakoroa.school.nz,Andrea Fulton,http://www.ngakoroa.school.nz/,1 Rorotu Ave,,Karaka,1 Rorotu Ave,,Karaka,2578,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Raro
504,Summit Point School,09-9735354,,Rebecca Elias,http://www.summitpoint.co.nz/,1 Fred Thomas Drive,Takapuna,Auckland,1 Fred Thomas Drive,Takapuna,Auckland,622,Major urban area,Full Primary,,Private : Fully Registered,Co-Educational,,Te Tai Raro
505,Ahutoetoe School,09-2428100,,Wendy Sandifer,https://www.ahutoetoe.school.nz/,89 Maryvale Road,,Wainui,89 Maryvale Road,,Wainui,,Large urban area,Contributing,,State,Co-Educational,,Te Tai Raro
506,Nukumea Primary School - Te Kura Tuatahi O Nukumea,09-320 1376,,Steve Mouldey,https://www.nukumea.school.nz/,"9 Cozier Pl, Orewa",,Auckland,"9 Cozier Pl, Orewa",,Auckland,931,Large urban area,Contributing,,State,Co-Educational,,Te Tai Raro
507,Matua Ngaru School,09-9729343,aculverwell@matuangaru.school.nz,Stephen Grady,https://www.matuangaru.school.nz/,47-49 Gilbransen Road,,Kumeu,47 Gilbransen Road,,Kumeu,810,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Raro
508,Fossil Bay School,09-3722152,management@fossilbay.co.nz,Donna Smith,https://www.fossilbay.co.nz/,58 Korora Road,Oneroa,Waiheke Island,PO Box 128,,Waiheke Island,1840,Small urban area,Full Primary,,Private : Fully Registered,Co-Educational,,Te Tai Raro
